company,line,station,norm_company,norm_line,norm_station
函館市電,函館市電湯川線,函館アリーナ前,函館市電,函館市電湯川線,函館アリーナ前
函館市電,函館市電湯川線,湯の川温泉,函館市電,函館市電湯川線,湯の川温泉
函館市電,函館市電湯川線,湯の川,函館市電,函館市電湯川線,湯の川
函館市電,函館市電宝来谷地頭線,谷地頭,函館市電,函館市電宝来谷地頭線,谷地頭
函館市電,函館市電宝来谷地頭線,青柳町,函館市電,函館市電宝来谷地頭線,青柳町
函館市電,函館市電宝来谷地頭線,宝来町,函館市電,函館市電宝来谷地頭線,宝来町
函館市電,函館市電宝来谷地頭線,十字街,函館市電,函館市電宝来谷地頭線,十字街
札幌市営地下鉄,地下鉄東西線,宮の沢,札幌市営地下鉄,地下鉄東西線,宮の沢
札幌市営地下鉄,地下鉄東西線,発寒南,札幌市営地下鉄,地下鉄東西線,発寒南
札幌市営地下鉄,地下鉄東西線,琴似,札幌市営地下鉄,地下鉄東西線,琴似
札幌市営地下鉄,地下鉄東西線,二十四軒,札幌市営地下鉄,地下鉄東西線,二十四軒
札幌市営地下鉄,地下鉄東西線,西２８丁目,札幌市営地下鉄,地下鉄東西線,西28丁目
札幌市営地下鉄,地下鉄東西線,円山公園,札幌市営地下鉄,地下鉄東西線,円山公園
札幌市営地下鉄,地下鉄東西線,西１８丁目,札幌市営地下鉄,地下鉄東西線,西18丁目
札幌市営地下鉄,地下鉄東西線,西１１丁目,札幌市営地下鉄,地下鉄東西線,西11丁目
札幌市営地下鉄,地下鉄東西線,大通,札幌市営地下鉄,地下鉄東西線,大通
札幌市営地下鉄,地下鉄東西線,バスセンター前,札幌市営地下鉄,地下鉄東西線,バスセンター前
札幌市営地下鉄,地下鉄東西線,菊水,札幌市営地下鉄,地下鉄東西線,菊水
札幌市営地下鉄,地下鉄東西線,東札幌,札幌市営地下鉄,地下鉄東西線,東札幌
札幌市営地下鉄,地下鉄東西線,白石,札幌市営地下鉄,地下鉄東西線,白石
札幌市営地下鉄,地下鉄東西線,南郷７丁目,札幌市営地下鉄,地下鉄東西線,南郷7丁目
